ID,ParallelSessions_WhichDaysAtTheConferenceWillYouBeAttending,ParallelSessions_FirstChoice,ParallelSessions_SecondChoice,ParallelSessions_ThirdChoice,ParallelSessions_FourthChoice,ParallelSessions_FifthChoice,ParallelSessions_FirstChoice2,ParallelSessions_SecondChoice2,ParallelSessions_ThirdChoice2,ParallelSessions_FourthChoice2,ParallelSessions_FifthChoice2,ParallelSessions_FirstChoice3,ParallelSessions_SecondChoice3,ParallelSessions_ThirdChoice3,ParallelSessions_FourthChoice3,ParallelSessions_FifthChoice3,ParallelSessions_FirstChoice4,ParallelSessions_SecondChoice4,ParallelSessions_ThirdChoice4,ParallelSessions_FourthChoice4,ParallelSessions_FifthChoice4,ParallelSessions_FirstChoice5,ParallelSessions_SecondChoice5,ParallelSessions_ThirdChoice5,ParallelSessions_FourthChoice5,ParallelSessions_FifthChoice5,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
63,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.5,Session 1.2,Session 2.1,Session 2.2,Session 2.3,Session 2.4,Session 2.5,Session 3.5,Session 3.1,Session 3.2,Session 3.3,Session 3.2,Session 4.5,Session 4.1,Session 4.2,Session 4.3,Session 4.4,Session 5.1,Session 5.4,Session 5.2,Session 5.3,Session 5.5,06/08/2019 08:18,06/08/2019 08:18,06/08/2019 08:18
64,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,No preference,No preference,No preference,Session 2.2,No preference,No preference,No preference,No preference,Session 3.3,No preference,No preference,No preference,No preference,Session 4.5,No preference,No preference,No preference,No preference,Session 5.4,No preference,No preference,No preference,No preference,05/08/2019 19:44,05/08/2019 19:44,05/08/2019 19:44
65,"Tuesday 1st October, Wednesday 2nd October",No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,05/08/2019 15:48,05/08/2019 15:48,05/08/2019 15:48
66,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.2,Session 1.5,Session 1.4,Session 2.4,Session 2.5,Session 2.3,Session 2.2,Session 2.1,Session 3.3,Session 3.5,Session 3.1,Session 3.4,Session 3.2,Session 4.4,Session 4.3,Session 4.5,Session 4.2,Session 4.1,Session 5.2,Session 5.1,Session 5.4,Session 5.5,Session 5.3,05/08/2019 15:36,05/08/2019 15:36,05/08/2019 15:36
67,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,Session 1.4,Session 1.5,Session 2.1,Session 2.4,Session 2.3,Session 2.2,Session 2.5,Session 3.1,Session 3.4,Session 3.5,Session 3.3,Session 3.2,Session 4.2,Session 4.3,Session 4.1,Session 4.4,Session 4.5,Session 5.4,Session 5.2,Session 5.1,Session 5.5,Session 5.3,05/08/2019 15:29,05/08/2019 15:29,05/08/2019 15:29
68,"Wednesday 2nd October, Tuesday 1st October",Session 1.1,Session 1.5,Session 1.2,Session 1.3,Session 1.4,Session 2.2,Session 2.1,Session 2.5,No preference,No preference,Session 3.3,Session 3.1,Session 3.5,Session 3.4,Session 3.2,Session 4.1,Session 4.3,Session 4.4,Session 4.5,Session 4.2,Session 5.5,Session 5.1,Session 5.2,Session 5.3,Session 5.4,05/08/2019 13:36,05/08/2019 13:36,05/08/2019 13:36
69,Tuesday 1st October,Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 2.5,No preference,Session 2.1,Session 2.1,Session 2.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 5.1,Session 5.1,Session 5.1,Session 5.1,Session 5.1,05/08/2019 12:59,05/08/2019 12:59,05/08/2019 12:59
70,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 1.1,No preference,Session 2.2,Session 2.1,Session 2.1,Session 2.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,No preference,Session 5.1,Session 5.1,Session 5.1,Session 5.1,05/08/2019 12:36,05/08/2019 12:36,05/08/2019 12:36
71,"Tuesday 1st October, Wednesday 2nd October",No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,05/08/2019 12:17,05/08/2019 12:17,05/08/2019 12:17
72,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.4,Session 1.5,Session 1.3,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 3.5,Session 3.4,Session 3.1,No preference,No preference,Session 4.2,Session 4.3,No preference,No preference,No preference,Session 5.4,Session 5.3,Session 5.1,Session 5.1,Session 5.1,05/08/2019 12:11,05/08/2019 12:11,05/08/2019 12:11
73,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.2,Session 1.5,Session 2.4,Session 2.5,Session 2.2,Session 2.1,Session 2.3,Session 3.5,Session 3.4,Session 3.2,Session 3.3,Session 3.1,Session 4.5,Session 4.4,Session 4.1,Session 4.2,Session 4.3,Session 5.1,Session 5.5,Session 5.2,Session 5.4,Session 5.3,05/08/2019 11:57,05/08/2019 11:57,05/08/2019 11:57
74,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.2,Session 1.1,Session 2.2,Session 2.1,Session 2.3,Session 2.5,Session 2.4,Session 3.1,Session 3.4,Session 3.5,Session 3.3,Session 3.2,Session 4.3,Session 4.5,Session 4.2,Session 4.1,Session 4.4,Session 5.2,Session 5.1,Session 5.4,Session 5.5,Session 5.3,05/08/2019 10:49,05/08/2019 10:49,05/08/2019 10:49
75,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,Session 1.3,Session 1.4,Session 1.5,Session 2.1,Session 2.5,Session 2.4,Session 2.2,Session 2.5,Session 3.2,Session 3.1,Session 3.5,Session 3.4,Session 3.3,Session 4.4,Session 4.3,Session 4.2,Session 4.2,Session 4.5,Session 5.1,Session 5.5,Session 5.4,Session 5.3,Session 5.2,05/08/2019 10:20,05/08/2019 10:20,05/08/2019 10:20
76,Wednesday 2nd October,Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 3.2,Session 3.1,Session 3.5,No preference,No preference,Session 4.3,No preference,No preference,No preference,No preference,Session 5.5,Session 5.2,Session 5.1,Session 5.3,Session 5.4,05/08/2019 10:13,05/08/2019 10:13,05/08/2019 10:13
77,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.5,Session 1.2,Session 2.3,Session 2.2,Session 2.4,Session 2.5,Session 2.1,Session 3.3,Session 3.5,Session 3.4,Session 3.2,Session 3.1,Session 4.1,Session 4.3,Session 4.5,Session 4.4,Session 4.2,Session 5.4,Session 5.2,Session 5.3,Session 5.1,Session 5.5,05/08/2019 09:54,05/08/2019 09:54,05/08/2019 09:54
78,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,Session 1.1,Session 1.5,Session 1.2,Session 2.2,Session 2.3,Session 2.1,Session 2.5,Session 2.4,Session 3.3,Session 3.5,Session 3.1,Session 3.4,Session 3.2,Session 4.4,Session 4.5,Session 4.1,Session 4.3,Session 4.2,Session 5.4,Session 5.3,Session 5.5,Session 5.1,Session 5.2,05/08/2019 09:37,05/08/2019 09:37,05/08/2019 09:37
79,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.4,Session 1.3,Session 1.2,Session 2.4,Session 2.3,Session 2.5,Session 2.2,Session 2.1,Session 3.4,Session 3.3,Session 3.5,Session 3.2,Session 3.1,Session 4.4,Session 4.5,Session 4.3,Session 4.2,Session 4.1,Session 5.2,Session 5.1,Session 5.5,Session 5.4,Session 5.3,05/08/2019 09:13,05/08/2019 09:13,05/08/2019 09:13
80,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.3,Session 1.5,Session 1.4,Session 2.2,Session 2.3,Session 2.5,Session 2.4,Session 2.1,Session 3.1,Session 3.3,Session 3.2,Session 3.4,Session 3.5,Session 4.1,Session 4.4,Session 4.2,Session 4.3,No preference,Session 5.5,Session 5.4,Session 5.3,Session 5.2,Session 5.1,05/08/2019 09:11,05/08/2019 09:11,05/08/2019 09:11
81,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.5,Session 1.3,Session 1.2,Session 1.4,Session 2.3,Session 2.2,Session 2.1,Session 2.4,Session 2.5,Session 3.1,Session 3.3,Session 3.4,Session 3.2,Session 3.5,Session 4.3,Session 4.4,Session 4.1,Session 4.2,Session 4.5,Session 5.2,Session 5.4,Session 5.1,Session 5.5,Session 5.3,05/08/2019 09:02,05/08/2019 09:02,05/08/2019 09:02
82,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 5.1,Session 5.1,Session 5.1,Session 5.1,Session 5.1,05/08/2019 08:23,05/08/2019 08:23,05/08/2019 08:23
83,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.2,Session 1.4,Session 1.1,Session 1.3,Session 2.1,Session 2.3,Session 2.4,Session 2.5,Session 2.2,Session 3.5,Session 3.1,Session 3.4,Session 3.3,Session 3.2,Session 4.3,Session 4.4,Session 4.2,Session 4.5,Session 4.1,Session 5.2,Session 5.1,Session 5.3,Session 5.5,Session 5.4,04/08/2019 16:57,04/08/2019 16:57,04/08/2019 16:57
84,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,Session 1.3,No preference,No preference,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 4.4,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 5.3,Session 5.1,Session 5.1,Session 5.1,Session 5.1,04/08/2019 16:13,04/08/2019 16:13,04/08/2019 16:13
85,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.4,Session 1.1,Session 1.5,Session 2.1,Session 2.4,No preference,No preference,No preference,Session 3.5,Session 3.1,Session 3.2,Session 3.4,Session 3.3,Session 4.1,Session 4.4,Session 4.3,Session 4.2,Session 4.5,Session 5.1,Session 5.2,Session 5.3,Session 5.4,Session 5.5,02/08/2019 16:27,02/08/2019 16:27,02/08/2019 16:27
86,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,Session 1.5,Session 1.1,Session 1.2,Session 2.1,Session 2.3,Session 2.2,Session 2.5,Session 2.4,Session 3.4,Session 3.5,Session 3.3,Session 3.2,Session 3.1,Session 4.4,Session 4.3,Session 4.5,No preference,No preference,Session 5.4,Session 5.5,Session 5.1,Session 5.3,Session 5.2,02/08/2019 15:57,02/08/2019 15:57,02/08/2019 15:57
87,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,Session 1.4,Session 1.3,Session 1.2,Session 2.1,Session 2.2,Session 2.3,Session 2.5,Session 2.4,Session 3.3,Session 3.1,Session 3.2,Session 3.4,Session 3.5,Session 4.3,Session 4.4,Session 4.2,Session 4.1,Session 4.5,Session 5.5,Session 5.4,Session 5.3,Session 5.2,Session 5.1,02/08/2019 15:56,02/08/2019 15:56,02/08/2019 15:56
88,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.5,Session 1.1,Session 1.4,Session 2.1,Session 2.4,Session 2.5,Session 2.2,Session 2.3,Session 3.1,Session 3.4,Session 3.2,Session 3.3,Session 3.5,Session 4.5,Session 4.3,Session 4.1,Session 4.4,Session 4.2,Session 5.3,Session 5.1,Session 5.4,Session 5.2,Session 5.5,02/08/2019 15:06,02/08/2019 15:06,02/08/2019 15:06
89,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.5,Session 1.4,Session 1.2,Session 2.4,Session 2.1,Session 2.5,Session 2.2,Session 2.3,Session 3.3,Session 3.1,Session 3.4,Session 3.2,Session 3.5,Session 4.3,Session 4.1,Session 4.4,Session 4.5,Session 4.2,Session 5.1,Session 5.5,Session 5.4,Session 5.3,Session 5.2,02/08/2019 14:33,02/08/2019 14:33,02/08/2019 14:33
90,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.5,Session 1.4,Session 1.1,Session 1.2,Session 2.1,Session 2.3,Session 2.4,Session 2.2,Session 2.5,Session 3.2,Session 3.1,Session 3.5,Session 3.4,Session 3.3,Session 4.2,Session 4.3,Session 4.4,Session 4.1,Session 4.5,Session 5.3,Session 5.4,Session 5.1,Session 5.2,Session 5.5,02/08/2019 14:27,02/08/2019 14:27,02/08/2019 14:27
91,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.5,Session 1.4,Session 1.2,Session 1.1,Session 2.1,Session 2.5,Session 2.2,Session 2.4,Session 2.3,Session 3.5,Session 3.3,Session 3.4,Session 3.2,Session 3.1,No preference,No preference,No preference,No preference,No preference,Session 5.2,Session 5.3,Session 5.5,Session 5.1,Session 5.4,02/08/2019 13:54,02/08/2019 13:54,02/08/2019 13:54
92,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.5,Session 1.2,Session 1.3,Session 1.4,Session 2.1,Session 2.4,Session 2.2,Session 2.5,Session 2.3,Session 3.2,Session 3.1,Session 3.4,Session 3.3,Session 3.5,Session 4.5,Session 4.4,Session 4.1,Session 4.2,Session 4.3,Session 5.1,Session 5.5,Session 5.2,Session 5.3,Session 5.4,02/08/2019 13:32,02/08/2019 13:32,02/08/2019 13:32
93,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.5,Session 1.3,Session 1.4,Session 1.2,Session 2.5,Session 2.1,Session 2.3,Session 2.4,Session 2.2,Session 3.4,Session 3.3,Session 3.5,Session 3.1,Session 3.2,Session 4.3,Session 4.5,Session 4.1,Session 4.4,Session 4.2,Session 5.2,Session 5.4,Session 5.5,Session 5.1,Session 5.3,02/08/2019 13:18,02/08/2019 13:18,02/08/2019 13:18
94,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.2,Session 1.5,Session 1.4,Session 2.4,Session 2.2,Session 2.5,Session 2.1,Session 2.3,Session 3.2,Session 3.4,Session 3.3,Session 3.5,Session 3.1,Session 4.3,Session 4.5,Session 4.4,Session 4.2,Session 4.1,Session 5.4,Session 5.2,Session 5.5,Session 5.1,Session 5.3,02/08/2019 11:47,02/08/2019 11:47,02/08/2019 11:47
95,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.2,Session 1.5,Session 1.4,Session 2.4,Session 2.5,Session 2.1,Session 2.2,Session 2.3,Session 3.3,Session 3.4,Session 3.5,Session 3.1,Session 3.2,Session 4.5,Session 4.3,Session 4.1,Session 4.4,Session 4.2,Session 5.2,Session 5.1,Session 5.4,Session 5.5,Session 5.3,02/08/2019 11:19,02/08/2019 11:19,02/08/2019 11:19
96,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,No preference,No preference,No preference,No preference,Session 2.1,Session 2.2,No preference,No preference,No preference,Session 3.1,Session 3.5,No preference,No preference,No preference,Session 4.4,Session 4.2,No preference,No preference,No preference,Session 5.4,Session 5.5,Session 5.2,No preference,No preference,02/08/2019 10:49,02/08/2019 10:49,02/08/2019 10:49
97,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.5,Session 1.3,Session 1.2,Session 2.4,Session 2.5,Session 2.3,Session 2.2,Session 2.1,Session 3.2,Session 3.4,Session 3.5,Session 3.3,Session 3.1,Session 4.4,Session 4.1,Session 4.3,Session 4.2,Session 4.5,Session 5.2,Session 5.5,Session 5.1,Session 5.4,Session 5.3,02/08/2019 10:16,02/08/2019 10:16,02/08/2019 10:16
98,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,Session 1.1,Session 1.5,Session 1.2,Session 2.4,Session 2.1,Session 2.2,Session 2.5,Session 2.3,Session 3.3,Session 3.2,Session 3.5,Session 3.1,Session 3.4,Session 4.3,Session 4.5,Session 4.4,Session 4.1,Session 4.2,Session 5.1,Session 5.5,Session 5.2,Session 5.4,Session 5.3,02/08/2019 09:42,02/08/2019 09:42,02/08/2019 09:42
99,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.4,Session 1.3,Session 1.5,Session 2.4,Session 2.1,Session 2.5,Session 2.2,Session 2.3,Session 3.3,Session 3.5,Session 3.4,Session 3.1,Session 3.2,Session 4.3,Session 4.1,Session 4.5,Session 4.4,Session 4.2,Session 5.1,Session 5.5,Session 5.2,Session 5.4,Session 5.3,02/08/2019 07:34,02/08/2019 07:34,02/08/2019 07:34
100,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.2,No preference,No preference,No preference,Session 2.1,Session 2.5,No preference,No preference,No preference,Session 3.5,Session 3.1,No preference,No preference,No preference,Session 4.4,Session 4.2,No preference,No preference,No preference,Session 5.2,No preference,No preference,No preference,No preference,01/08/2019 19:00,01/08/2019 19:00,01/08/2019 19:00
101,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.4,Session 1.3,Session 1.5,Session 1.2,Session 2.5,Session 2.1,Session 2.2,No preference,No preference,Session 3.2,Session 3.3,Session 3.4,Session 3.5,Session 3.1,Session 4.3,Session 4.5,Session 4.4,Session 4.1,Session 4.2,Session 5.4,Session 5.1,Session 5.5,Session 5.3,Session 5.2,01/08/2019 18:11,01/08/2019 18:11,01/08/2019 18:11
102,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.4,Session 1.1,Session 1.5,Session 2.1,Session 2.2,Session 2.4,Session 2.3,Session 2.5,Session 3.3,Session 3.1,Session 3.2,Session 3.5,Session 3.4,Session 4.1,Session 4.3,Session 4.5,Session 4.2,Session 4.4,Session 5.2,Session 5.3,Session 5.4,Session 5.5,Session 5.1,01/08/2019 17:42,01/08/2019 17:42,01/08/2019 17:42
103,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.5,Session 1.1,Session 1.4,Session 2.4,Session 2.5,Session 2.2,Session 2.1,Session 2.3,Session 3.5,Session 3.4,Session 3.1,Session 3.2,Session 3.3,Session 4.5,Session 4.3,Session 4.2,Session 4.4,Session 4.1,Session 5.3,Session 5.2,Session 5.4,Session 5.5,Session 5.1,01/08/2019 16:56,01/08/2019 16:56,01/08/2019 16:56
104,"Wednesday 2nd October, Tuesday 1st October",Session 1.5,Session 1.5,Session 1.5,Session 1.5,Session 1.5,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 3.4,Session 3.4,Session 3.4,Session 3.4,Session 3.4,Session 4.2,Session 4.2,Session 4.2,Session 4.2,Session 4.2,Session 5.3,Session 5.3,Session 5.3,Session 5.3,Session 5.3,01/08/2019 14:51,01/08/2019 14:51,01/08/2019 14:51
105,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,Session 1.4,Session 1.5,Session 1.3,Session 2.5,Session 2.2,Session 2.4,Session 2.3,Session 2.1,Session 3.1,Session 3.5,Session 3.3,Session 3.4,Session 3.2,Session 4.3,Session 4.4,Session 4.5,Session 4.1,Session 4.2,Session 5.1,Session 5.5,Session 5.3,Session 5.2,Session 5.4,01/08/2019 13:42,01/08/2019 13:42,01/08/2019 13:42
106,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,Session 1.1,Session 1.5,Session 1.2,Session 2.4,Session 2.2,Session 2.5,Session 2.3,Session 2.1,Session 3.1,No preference,No preference,No preference,No preference,Session 4.3,Session 4.4,Session 4.2,Session 4.1,Session 4.5,Session 5.1,Session 5.5,Session 5.4,Session 5.2,Session 5.3,01/08/2019 13:32,01/08/2019 13:32,02/08/2019 09:07
107,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.5,Session 1.3,Session 1.4,Session 1.1,Session 2.4,Session 2.5,Session 2.1,Session 2.4,Session 2.2,Session 3.4,Session 3.3,Session 3.1,Session 3.1,Session 3.5,Session 4.3,Session 4.4,Session 4.1,Session 4.2,Session 4.5,Session 5.5,Session 5.2,Session 5.1,Session 5.3,Session 5.4,01/08/2019 13:03,01/08/2019 13:03,01/08/2019 13:03
108,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.5,Session 1.2,Session 1.3,Session 1.4,Session 2.2,Session 2.4,Session 2.5,Session 2.1,Session 2.3,Session 3.1,Session 3.3,Session 3.2,Session 3.4,Session 3.5,Session 4.2,Session 4.3,Session 4.4,Session 4.5,Session 4.1,Session 5.5,Session 5.3,Session 5.1,Session 5.2,Session 5.4,01/08/2019 12:35,01/08/2019 12:35,01/08/2019 12:35
109,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.4,Session 1.5,Session 1.1,Session 2.1,Session 2.2,Session 2.5,Session 2.4,Session 2.3,Session 3.5,Session 3.4,Session 3.3,Session 3.1,Session 3.2,Session 4.4,Session 4.2,Session 4.1,Session 4.5,Session 4.3,Session 5.5,Session 5.1,Session 5.4,Session 5.2,Session 5.3,01/08/2019 12:34,01/08/2019 12:34,01/08/2019 12:34
110,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.5,No preference,No preference,No preference,Session 2.1,No preference,No preference,No preference,No preference,Session 3.3,Session 3.1,Session 3.5,No preference,No preference,Session 4.3,Session 4.5,No preference,No preference,No preference,Session 5.1,Session 5.5,Session 5.2,No preference,No preference,01/08/2019 12:11,01/08/2019 12:11,01/08/2019 12:11
111,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.5,Session 1.3,Session 1.1,Session 1.4,Session 2.5,Session 2.2,Session 2.1,Session 2.4,Session 2.3,Session 3.1,Session 3.2,Session 3.5,Session 3.4,Session 3.3,Session 4.3,Session 4.1,Session 4.5,Session 4.4,Session 4.2,No preference,No preference,No preference,No preference,No preference,01/08/2019 12:01,01/08/2019 12:01,01/08/2019 12:01
112,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.5,Session 1.4,Session 1.2,Session 2.4,Session 2.1,Session 2.5,Session 2.2,Session 2.3,Session 3.3,Session 3.2,Session 3.4,Session 3.5,Session 3.1,Session 4.5,Session 4.4,Session 4.3,Session 4.1,Session 4.2,Session 5.1,Session 5.4,Session 5.3,Session 5.2,Session 5.5,01/08/2019 11:57,01/08/2019 11:57,01/08/2019 11:57
113,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,No preference,No preference,No preference,Session 2.3,Session 2.5,No preference,No preference,No preference,Session 3.1,Session 3.3,Session 3.4,Session 3.1,Session 3.1,Session 4.3,Session 4.4,No preference,No preference,No preference,Session 5.4,No preference,No preference,No preference,No preference,01/08/2019 10:37,01/08/2019 10:37,01/08/2019 10:37
114,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,No preference,No preference,No preference,No preference,Session 2.2,No preference,No preference,No preference,No preference,Session 3.1,No preference,No preference,No preference,No preference,Session 4.2,No preference,No preference,No preference,No preference,Session 5.5,No preference,No preference,No preference,No preference,01/08/2019 10:07,01/08/2019 10:07,01/08/2019 10:07
115,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.5,Session 1.3,Session 1.1,Session 1.4,Session 2.1,Session 2.2,Session 2.4,Session 2.3,Session 2.5,Session 3.3,Session 3.4,No preference,No preference,No preference,Session 4.3,Session 4.4,Session 4.5,Session 4.2,Session 4.1,Session 5.3,Session 5.5,Session 5.4,Session 5.1,Session 5.2,01/08/2019 09:59,01/08/2019 09:59,01/08/2019 09:59
116,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.2,No preference,No preference,Session 2.3,Session 2.1,Session 2.2,No preference,No preference,Session 3.1,Session 3.5,Session 3.3,No preference,No preference,Session 4.4,Session 4.3,Session 4.1,Session 4.5,Session 4.2,Session 5.3,Session 5.4,No preference,No preference,No preference,01/08/2019 09:55,01/08/2019 09:55,01/08/2019 09:55
117,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.2,Session 1.5,Session 2.4,Session 2.1,Session 2.5,Session 2.2,Session 2.3,Session 3.4,Session 3.5,Session 3.1,Session 3.2,Session 3.3,Session 4.1,Session 4.5,Session 4.3,Session 4.4,Session 4.2,Session 5.5,Session 5.2,Session 5.1,Session 5.3,Session 5.4,01/08/2019 09:54,01/08/2019 09:54,01/08/2019 09:54
118,"Tuesday 1st October, Wednesday 2nd October",No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,01/08/2019 09:53,01/08/2019 09:53,01/08/2019 09:53
119,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,Session 1.2,Session 1.3,Session 1.4,Session 2.1,Session 2.1,Session 2.5,Session 2.4,Session 2.3,Session 3.1,Session 3.3,Session 3.2,Session 3.4,Session 3.5,Session 4.2,Session 4.4,Session 4.5,Session 4.1,Session 4.3,Session 5.2,Session 5.3,Session 5.5,Session 5.4,Session 5.1,01/08/2019 09:26,01/08/2019 09:26,01/08/2019 09:26
120,"Tuesday 1st October, Wednesday 2nd October",Session 1.4,Session 1.3,Session 1.1,Session 1.1,Session 1.2,Session 2.5,Session 2.3,Session 2.2,Session 2.1,Session 2.4,Session 3.5,Session 3.4,Session 3.1,Session 3.2,Session 3.3,Session 4.5,Session 4.4,Session 4.3,Session 4.1,Session 4.2,Session 5.4,Session 5.3,Session 5.3,Session 5.1,Session 5.2,01/08/2019 09:13,01/08/2019 09:13,01/08/2019 09:13
121,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.1,Session 1.5,Session 1.4,Session 2.1,Session 2.4,Session 2.5,Session 2.2,Session 2.3,Session 3.1,Session 3.2,Session 3.4,Session 3.3,Session 3.5,Session 4.4,Session 4.5,Session 4.3,Session 4.1,Session 4.2,Session 5.2,Session 5.5,Session 5.4,Session 5.1,Session 5.3,01/08/2019 08:57,01/08/2019 08:57,01/08/2019 08:57
122,"Tuesday 1st October, Wednesday 2nd October",No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,31/07/2019 20:14,31/07/2019 20:14,31/07/2019 20:14
123,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.5,Session 1.2,Session 2.1,Session 2.4,Session 2.5,Session 2.2,Session 2.3,Session 3.5,Session 3.4,Session 3.1,Session 3.3,Session 3.2,Session 4.4,Session 4.3,Session 4.1,Session 4.2,Session 4.5,Session 5.2,Session 5.1,Session 5.4,Session 5.3,Session 5.5,31/07/2019 18:33,31/07/2019 18:33,31/07/2019 18:33
